-1,0,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
-1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1
-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,100,-1
-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,60
-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,100,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,100,-1
