-1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 0, -1, 0, -1, 0, -1, 20, -1, -1, -1, -1, -1, -1, -1
0, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1
-1, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1
-1, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1
-1, -1, -1, -1, -1, 0, -1, 10, -1, -1, -1, 0, -1, -1, -1
-1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1
-1, -1, -1, 0, -1, -1, -1, 10, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1
-1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, 100
-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 100
-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 100
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 100
